cost,skills,user_id,user_name
23.015371012426144,"['t002', 't005', 't012', 't017', 't018', 't010', 't004', 't056', 't055', 't058', 't026', 't071', 't027', 't088', 't074', 't067', 't087', 't061', 't095', 't076', 't073', 't046', 't080', 't044', 't078', 't042', 't085']",0,w00
18.893465831182642,"['t014', 't015', 't008', 't013', 't006', 't001', 't000', 't016', 't085', 't039', 't033', 't060', 't022', 't038', 't034', 't093', 't057', 't089', 't077', 't043', 't030', 't045', 't097', 't069', 't047', 't036', 't035', 't048', 't037']",1,w01
26.57199595188205,"['t003', 't007', 't011', 't009', 't037', 't062', 't023', 't052', 't070', 't098', 't050', 't092', 't072', 't084', 't075', 't049']",2,w02
31.361722903542898,"['t002', 't005', 't012', 't017', 't018', 't049', 't064', 't024', 't019', 't041', 't065', 't051', 't083', 't086', 't031', 't021', 't029', 't082']",3,w03
65.26806988756564,"['t010', 't004', 't014', 't015', 't008', 't013', 't082', 't090', 't028', 't066', 't079', 't099', 't068', 't063', 't091', 't020', 't040', 't059', 't094', 't025', 't054']",4,w04
45.00691794155874,"['t006', 't001', 't000', 't016', 't054', 't032', 't081', 't096', 't053', 't056', 't055', 't058', 't026', 't071', 't027']",5,w05
89.08623481252926,"['t003', 't007', 't011', 't009', 't002', 't005', 't027', 't088', 't074', 't067', 't087', 't061', 't095', 't076', 't073', 't046', 't080', 't044', 't078', 't042', 't085', 't039', 't033']",6,w06
56.01012304042963,"['t012', 't017', 't018', 't010', 't004', 't014', 't015', 't033', 't060', 't022', 't038', 't034', 't093', 't057', 't089', 't077', 't043', 't030', 't045', 't097', 't069', 't047', 't036', 't035', 't048']",7,w07
87.81575579078876,"['t008', 't013', 't006', 't001', 't048', 't037', 't062', 't023', 't052', 't070', 't098', 't050', 't092', 't072', 't084']",8,w08
29.76421079165902,"['t000', 't016', 't003', 't007', 't011', 't009', 't084', 't075', 't049', 't064', 't024', 't019', 't041', 't065', 't051', 't083', 't086', 't031', 't021', 't029', 't082', 't090']",9,w09
92.55200244324611,"['t002', 't005', 't012', 't017', 't018', 't010', 't090', 't028', 't066', 't079', 't099', 't068', 't063', 't091', 't020', 't040', 't059', 't094', 't025', 't054', 't032', 't081', 't096']",10,w10
90.27789217721362,"['t004', 't014', 't015', 't008', 't013', 't096', 't053', 't056', 't055', 't058', 't026', 't071', 't027', 't088', 't074', 't067', 't087', 't061', 't095', 't076']",11,w11
42.34656991095309,"['t006', 't001', 't076', 't073', 't046', 't080', 't044']",12,w12
89.459189979175,"['t000', 't016', 't003', 't007', 't011', 't044', 't078', 't042', 't085', 't039', 't033', 't060', 't022', 't038', 't034', 't093', 't057']",13,w13
117.06451059523003,"['t009', 't002', 't005', 't012', 't017', 't057', 't089', 't077', 't043', 't030', 't045', 't097', 't069', 't047', 't036', 't035', 't048', 't037', 't062', 't023']",14,w14
171.54792752972918,"['t018', 't010', 't004', 't014', 't023', 't052', 't070', 't098', 't050', 't092', 't072', 't084', 't075', 't049']",15,w15
94.19041084017803,"['t015', 't008', 't013', 't006', 't001', 't049', 't064', 't024', 't019', 't041', 't065', 't051', 't083', 't086', 't031', 't021', 't029', 't082']",16,w16
176.23370187266087,"['t000', 't016', 't003', 't007', 't011', 't082', 't090', 't028', 't066', 't079', 't099', 't068', 't063', 't091', 't020', 't040', 't059']",17,w17
174.0308551040228,"['t009', 't002', 't005', 't012', 't017', 't059', 't094', 't025', 't054', 't032', 't081', 't096', 't053', 't056', 't055', 't058', 't026']",18,w18
178.83200520559066,"['t018', 't010', 't004', 't014', 't026', 't071', 't027', 't088', 't074', 't067', 't087', 't061', 't095', 't076', 't073']",19,w19
