skill,skill_id,valuation
social networking apps,1319,42
hardware engineering,698,113
usb (universal serial bus),1465,84
building materials,202,18
crm,409,38
telephone systems,1413,72
data acquisition,435,60
customer engagement,426,34
jbpm,803,58
content managed websites,363,53
clickbank,290,49
websites,1589,93
educational games,528,83
art sales,116,56
public relations industry,1173,54
n2cms,995,34
rhinoceros 3d,1218,63
corporate videos,394,33
news writing style,1003,52
java2d,799,62
threat modeling,1428,50
act crm,28,63
book sales,188,73
microsoft access,934,57
martial arts,903,91
electronic product design,539,47
test driven development,1422,91
contract negotiation,372,85
mac apps,871,77
medical education,923,78
character modelling,267,86
business plan,219,103
mural design,985,87
office 365,1020,86
integrated circuit design,749,14
server,1275,72
mt4,983,117
adobe flash,47,52
consultative sales management,358,50
mcse,915,65
web communities,1543,25
content migration,367,98
experienced,570,63
createive suite,405,51
cassandra,256,79
varnish,1470,79
publication production,1175,86
telugu,1417,93
code,308,95
peer education,1086,75
non profit consulting,1012,74
good data,667,40
e-business management,510,87
science education,1255,49
compiler,338,48
soundedit,1342,34
web conversion,1549,53
closing contracts,296,38
home video,710,66
mercurial,929,48
bank reconciliation,154,47
newspapers industry,1006,66
social crm,1304,47
web site editing,1570,88
ms exchange server,975,86
luxury goods industry,869,35
court reporting,397,51
rf engineering,1215,31
primefaces,1146,48
marketing documents,896,69
ez publish,573,85
calculus,239,52
b2b,150,59
textile prints,1425,55
couchdb,395,76
amazon kindle,72,87
ms sql,979,92
mac,870,56
outside sales,1065,68
cinematography,279,94
routers,1223,21
financial writing,610,68
branding,195,72
buddypress,199,71
computer graphics,341,57
powerbuilder,1136,54
algorithms,68,80
other - admin support,1057,47
bigcommerce,167,41
marketing management,897,30
application design,99,65
google adsense,668,72
cooking,375,46
financial analysis,604,81
socialengine,1323,41
singing,1287,70
lean,840,101
web presence,1562,63
flash design,621,88
event management,564,62
yoga,1629,65
on page,1023,67
server administration,1276,69
blackberry os,174,92
economics,522,75
fitness industry,616,59
mac os x,873,65
memcached,927,68
supply chain management,1380,75
gps,683,81
data structures,451,88
load balancing,863,60
cloud based,300,77
architectural drawings,110,64
resume writing,1208,70
web content management,1546,88
client server application development,294,56
indonesian,737,61
hebrew,706,63
fantasy illustration,581,84
trados,1435,57
children's writing,274,50
article submission,120,46
recruiting,1193,96
healthcare systems,705,81
murals,987,71
ims,733,68
sound editing,1341,73
subversion,1377,67
interspire,764,51
web standards,1572,68
epub (electronic publication),558,54
web media,1559,85
user experience design,1466,84
cms (content management system),303,34
short stories,1281,54
asterisk,131,51
content strategy,368,48
layout design,835,51
natural language,997,78
acrylic painting,26,66
filemaker,593,95
image advertising,728,71
custom facebook pages,422,61
color design,318,21
driving,504,59
organic search,1050,57
viral marketing,1505,88
video marketing,1495,48
sqlite,1358,55
google maps api,675,48
illustrator,727,52
audio production,135,62
grant writing,686,28
flash websites,623,93
client requirements,293,70
web search,1566,60
icons,723,82
interpreting,763,51
sports writing,1348,99
asp classic,127,89
manga,888,67
management software,887,49
digital photography,484,55
ubercart,1454,55
teaching english,1403,77
other - multimedia services,1061,81
cisco routers,283,43
phpfox,1106,82
comics,326,41
character animation,263,38
android sdk,81,36
electronic design,538,46
twilio,1447,67
google adwords,669,46
displays,494,90
sequential art,1274,38
oracle dba,1046,89
letterhead,845,64
event planning,565,71
game prototyping,647,64
prototyping,1167,44
software development life cycle,1330,76
english translation,554,39
dom,500,80
google apps,671,102
administrative assistant,39,56
linq to sql,854,77
game publishing,648,57
microcontroller,932,72
medical illustration,924,42
film editing,598,62
vulnerability assessment,1530,90
plastics engineering,1118,71
intellectual property,750,61
continuous integration,370,51
poster design,1132,79
textile design,1424,39
c programming,230,47
virtualization,1507,58
page design,1068,94
caricatures,252,91
polish,1124,64
ccna,258,91
business intelligence,212,35
matlab,908,110
ssh,1360,87
technical support,1408,77
internet information services (iis),756,79
social networking sites,1320,33
budgeting,200,95
account management,22,63
magazine articles,876,38
vhdl,1484,50
software application,1326,46
tcp/ip,1401,105
product marketing,1156,47
social media blogging,1311,39
business operations,218,104
wireless,1607,45
direct marketing,487,78
logistics,867,77
environmental,557,72
sencha touch,1271,69
3d rigging,16,70
human resources management (hr),719,61
azure,149,60
acting,29,89
press release writing,1143,79
technical documentation,1406,37
firewalls,613,86
volusion,1527,15
blackberry enterprise server,173,6
t-shirt design,1393,61
dynamic websites,507,79
penetration testing,1087,77
article rewriting,119,64
curl,418,104
3d models,13,84
elastic,534,78
sendmail,1272,93
insurance industry,748,76
phpmyadmin,1107,74
lan,829,69
microstrategy,945,84
wan,1531,76
cgi/perl,261,78
direct digital marketing,485,56
bioinformatics,169,39
non fiction writing,1011,85
chemistry,270,80
sip,1288,90
pic,1111,49
bpo,192,41
client profiles,292,41
sales promotion,1240,95
uml,1458,60
landscape design,832,75
order processing,1049,60
wix,1610,48
dns,498,61
textiles,1426,107
aweber,148,23
renewable energy,1198,66
tourism,1434,56
fixture design,617,53
postfix,1133,69
music production,990,68
art,115,69
google places,676,31
directory submission,490,93
enterprise software,556,79
network design,1000,94
video conferencing,1491,34
pinterest,1114,63
groovy,692,108
computer engineer,340,53
fine art,611,64
fpga,632,33
video effects,1493,77
government proposals,682,39
microsoft azure,935,49
avid,147,72
data warehouse,452,56
autodesk inventor,142,58
icontact,724,73
structural analysis,1374,69
italian,790,51
still life painting,1368,36
technical design,1405,83
pitch letters,1115,58
github,663,51
plc,1119,27
litigation,859,56
medical writing,926,82
movie maker,970,81
email list building,543,54
node.js,1009,76
business management solutions,216,59
iphone application development,779,72
ext js,572,40
web scraping,1565,82
medical billing,922,69
presentation design,1141,45
selling,1268,48
guitar,695,57
symfony,1388,54
shell scripting,1278,65
vector design,1477,26
switches,1385,80
camtasia,247,62
youtube api,1632,93
interpersonal skills,762,70
westlaw,1592,68
salesforce,1242,59
ms powerpoint,978,64
spree,1350,70
video services,1499,60
norwegian,1014,98
gis,661,46
materials,905,79
html,714,35
asp.net mvc,129,65
fiction,591,89
vbscript,1475,48
linq,853,59
indesign,736,79
technical writing,1409,63
delphi,466,70
3ds max,17,75
iis,725,45
authorize.net,139,71
3d animation,9,33
yii framework,1628,106
custom cms,421,56
actionscript,30,79
web developer,1552,80
cartoon,253,57
adobe acrobat,41,59
visual basic,1511,79
shopping carts,1280,50
consultant,357,67
social networking,1318,79
video production,1498,67
construction,355,74
real estate,1188,54
sql,1354,57
quality assurance,1182,80
oop,1032,71
communication skills,330,78
rss,1225,56
acrobat,25,93
logo design,868,72
copy editing,376,63
mysql,993,81
virtuemart,1508,102
corporate identity,388,12
testing,1423,67
javascript,800,71
artist,124,73
rendering,1197,77
hibernate,707,72
smo,1298,66
asp,126,73
twitter bootstrap,1449,49
internet research,760,37
corporate,384,23
writing,1618,67
fireworks,614,84
solidworks,1336,45
voice over,1523,81
management,886,73
customer support,431,41
web technologies,1574,34
c++,232,39
wpf,1616,101
ecommerce,518,88
adobe indesign,49,53
iphone development,781,75
corel draw,382,77
self,1266,41
payment gateway integration,1075,39
content writing,369,97
drafting,501,48
copywriting,379,69
social media marketing,1315,117
finance,602,23
zend framework,1635,45
perl,1091,92
mobile application development,953,67
web programming,1564,35
ms office,976,63
3d modeling,12,46
seo,1273,63
vista,1510,83
corporate branding,385,68
outlook,1064,49
sql server,1357,1
consulting,359,104
business card design,205,45
article writing,0,0
articles,0,0
business writing,0,0
english,0,0
access,0,0
basic,0,0
c,0,0
c#,0,0
design,0,0
excel,0,0
java,0,0
linux,0,0
medical,0,0
microsoft,0,0
powerpoint,0,0
project management,0,0
strategic planning,0,0
unix,0,0
vba,0,0
.net,0,0
ajax,0,0
apache,0,0
api,0,0
app development,0,0
application development,0,0
css,0,0
css3,0,0
dreamweaver,0,0
drupal,0,0
flash,0,0
google maps,0,0
graphic design,0,0
html5,0,0
internet marketing,0,0
joomla,0,0
jquery,0,0
jsp,0,0
magento,0,0
marketing,0,0
networking,0,0
php,0,0
sem,0,0
social networks,0,0
video,0,0
web 2.0,0,0
web development,0,0
wordpress,0,0
yahoo,0,0
zend,0,0
adobe photoshop,0,0
editing,0,0
graphics,0,0
image editing,0,0
outsourcing,0,0
photo manipulation,0,0
web design,0,0
brochures,0,0
creative writing,0,0
direct mail pieces,0,0
make,0,0
marketing communications,0,0
product descriptions,0,0
reviews,0,0
sales,0,0
sales letters,0,0
website content,0,0
blogs,0,0
e-books,0,0
facebook,0,0
newsletters,0,0
radio,0,0
twitter,0,0
blogging,0,0
grammar,0,0
microsoft word,0,0
pdf,0,0
proofreading,0,0
punctuation,0,0
spelling,0,0
collections,0,0
digital,0,0
freelance,0,0
ms,0,0
ms excel,0,0
ms word,0,0
processing,0,0
research,0,0
sharepoint,0,0
training,0,0
visio,0,0
active directory,0,0
cisco,0,0
quickbooks,0,0
windows,0,0
erp,0,0
international,0,0
inventory management,0,0
software,0,0
website design,0,0
cakephp,0,0
php 5,0,0
smarty,0,0
eclipse,0,0
audio editing,0,0
sound design,0,0
database administration,0,0
programming,0,0
system administration,0,0
3d,0,0
animation,0,0
cartooning,0,0
com,0,0
drawing,0,0
music,0,0
video editing,0,0
web content,0,0
adobe illustrator,0,0
industrial,0,0
test,0,0
brand advertising,0,0
illustration,0,0
codeigniter,0,0
developer,0,0
jquery mobile,0,0
mobile,0,0
mvc,0,0
saas,0,0
skill,0,0
asp.net,0,0
portuguese,0,0
coaching,0,0
customer service,0,0
http,0,0
leads,0,0
reports,0,0
typing,0,0
ios,0,0
oscommerce,0,0
user interface design,0,0
xhtml,0,0
analytics,0,0
blog writing,0,0
content management,0,0
cover letter writing,0,0
data entry,0,0
data processing,0,0
gmail,0,0
google docs,0,0
letter writing,0,0
linkedin,0,0
skype,0,0
transcription,0,0
billing,0,0
custom websites,0,0
database design,0,0
dhtml,0,0
focus,0,0
hardware troubleshooting,0,0
intranet,0,0
oracle,0,0
pc hardware,0,0
troubleshooting,0,0
analysis,0,0
french,0,0
health,0,0
hypnosis,0,0
mathematics,0,0
photo editing,0,0
photography,0,0
physics,0,0
property management,0,0
risk management,0,0
script writing,0,0
spanish,0,0
spreadsheets,0,0
translation,0,0
videography,0,0
banner,0,0
banner ads,0,0
copyright,0,0
email,0,0
max,0,0
videos,0,0
book cover design,0,0
cover art,0,0
cover design,0,0
2d art,0,0
comic art,0,0
comic book art,0,0
digital painting,0,0
painting,0,0
skinning,0,0
accounting,0,0
bookkeeping,0,0
financial accounting,0,0
financial planning,0,0
modeling,0,0
presentations,0,0
sugarcrm,0,0
architecture,0,0
content management system (cms),0,0
software development,0,0
debugging,0,0
facebook api,0,0
invoicing,0,0
motif,0,0
paypal,0,0
phonegap,0,0
vb.net,0,0
advertising,0,0
leadership,0,0
mac os,0,0
android,0,0
blackberry,0,0
character design,0,0
custom software development,0,0
director,0,0
game development,0,0
gaming,0,0
ipad,0,0
ipad development,0,0
iphone,0,0
iphone sdk,0,0
j2ee,0,0
lamp,0,0
open source,0,0
opencart,0,0
product development,0,0
sybase,0,0
voip,0,0
xml,0,0
zen cart,0,0
corporate identity kit,0,0
newsletter design,0,0
algorithm design,0,0
data analysis,0,0
engineering,0,0
vba programming,0,0
article marketing,0,0
english (uk),0,0
ghost writing,0,0
rewriting,0,0
web content creation,0,0
web content writing,0,0
web text,0,0
website content writing,0,0
website promotion,0,0
google analytics,0,0
joomla!,0,0
off page,0,0
psd,0,0
website development,0,0
core java,0,0
responsive web design,0,0
soap,0,0
web services,0,0
wordpress plugin,0,0
cam,0,0
architect,0,0
concept art,0,0
product illustration,0,0
technical illustration,0,0
vector illustration,0,0
visualization,0,0
game design,0,0
