skill,freq,skill_id,valuation,new_value
direct sales,1,488,263.12516418088944,598
ms sql,2,979,213.1901356491269,346
ecommerce optimization,2,520,186.49944551790057,780
embedded development,1,546,5.4000577169189965,423
b2b,1,150,57.28267931914154,383
content managed websites,1,363,242.1656610835688,751
web page design,1,1561,372.64456152613633,441
journalistic photography,1,810,23.105182250511195,326
counseling,0,396,78.10543043892686,446
usb (universal serial bus),0,1465,499.9755851193906,531
investment banking,4,768,551.0470934546263,194
public relations (pr),8,1172,70.12628716941904,456
agile web development,2,60,47.09408720901885,427
agriculture,5,61,17.229087545229618,360
retail branding,7,1209,202.17042902057358,312
business coaching,3,206,49.57937614113738,541
social networking sites,8,1320,165.98939997627053,579
typo3,5,1452,215.37055064725925,523
android programming,20,80,35.44136518740164,287
electrical,19,535,223.6034980945079,542
color design,2,318,205.24856572653735,372
moodle,17,965,45.910017290908016,599
web content management,4,1546,90.6739270327371,292
six sigma,4,1289,85.67233700601555,430
intellectual property,11,750,24.946421770364328,450
broadcasting,13,196,180.6934388236221,477
cms (content management system),5,303,634.0926760748872,371
interspire,7,764,105.31869196665764,765
windows desktop,5,1601,462.9390569590009,480
sales letters,14,1235,47.276988524675886,558
video streaming,6,1500,110.64079560520064,572
vector graphics,10,1478,127.5869684375245,391
oracle dba,4,1046,117.15565497303145,557
hd video,6,701,525.8931647324192,391
ai,5,62,82.903073160464,350
youtube api,5,1632,10.373826532254927,310
landing page design,14,830,7.603264043860411,448
autodesk mudbox,6,144,349.4423902673342,229
architectural drawings,8,110,25.1085707061444,557
landing page development,4,831,435.09586604901705,386
smo,56,1298,45.57552894097974,379
microsoft word,86,944,114.90975509111048,582
joomla,547,807,108.26331815984636,490
accounting,97,23,170.84840637776702,423
construction,43,355,36.087701182073154,300
linq,30,853,2.438502929307739,560
responsive web design,94,1204,67.32111958438111,526
developer,230,475,95.86883911503892,767
outlook,86,1064,8.128938609967882,357
copy editing,55,376,165.52578718149024,393
