skill,skill_id,valuation
t000,0,23.069700395347162
t001,1,14.408086146832371
t002,2,39.08562391398358
t003,3,60.12122834380411
t004,4,99.4328114916441
t005,5,26.228255202787988
t006,6,32.89376817440581
t007,7,80.73328878484406
t008,8,13.859959168377989
t009,9,19.078717284898545
t010,10,75.91519259992025
t011,11,88.36989893521684
t012,12,83.6119088502304
t013,13,64.24947414578185
t014,14,98.87091049490232
t015,15,58.78899228696331
t016,16,63.8814594558818
t017,17,62.215317174093514
t018,18,98.68116381928589
t019,19,77.74795227913293
t020,20,39.72683913299751
t021,21,46.368007174310804
t022,22,12.79424383962468
t023,23,68.74419832275844
t024,24,87.18253350679049
t025,25,72.5383414244955
t026,26,12.897207685988
t027,27,23.192065651756582
t028,28,62.421576562715984
t029,29,85.50149406325451
t030,30,44.871455347678975
t031,31,18.8671687442637
t032,32,33.7916573352327
t033,33,64.9870022894122
t034,34,36.81727091810169
t035,35,76.96132828787299
t036,36,20.552750884026818
t037,37,98.22195027970974
t038,38,66.34017527220136
t039,39,58.16986609882278
t040,40,2.715233748050384
t041,41,28.639031237384987
t042,42,55.90494500338333
t043,43,16.164508160574933
t044,44,11.907062056590336
t045,45,64.6142029110321
t046,46,88.03317252020875
t047,47,16.75744273262599
t048,48,18.08152723931241
t049,49,42.23258271219507
t050,50,44.96705797825521
t051,51,64.27543678070123
t052,52,29.19214874624531
t053,53,4.082943516629081
t054,54,99.44763910711805
t055,55,28.652477727024824
t056,56,45.47708661424448
t057,57,39.70772335633764
t058,58,14.77192921850992
t059,59,5.6635379595217445
t060,60,61.56976438500428
t061,61,71.28862797162559
t062,62,77.8649437862246
t063,63,67.1242197797722
t064,64,31.24904751254042
t065,65,43.43404176843854
t066,66,32.79865718641545
t067,67,39.29485443486276
t068,68,31.067884943207662
t069,69,60.46783840267038
t070,70,81.44371051573351
t071,71,41.33256702212897
t072,72,34.11251699130661
t073,73,32.76895169485684
t074,74,59.619967775661294
t075,75,75.99503231423955
t076,76,54.56415065639937
t077,77,20.681000858165966
t078,78,78.14852047630363
t079,79,1.0003152863955203
t080,80,12.860630577120103
t081,81,86.02674520523352
t082,82,68.24171579878207
t083,83,17.067269375451364
t084,84,63.01656396493983
t085,85,34.117906453473346
t086,86,93.66103193198472
t087,87,38.8895826581921
t088,88,44.00497792836639
t089,89,40.84819888097249
t090,90,92.76625265694202
t091,91,36.701523875123314
t092,92,10.095141228174564
t093,93,22.31083405641779
t094,94,41.54056642658557
t095,95,1.7306138928639965
t096,96,10.117838018851693
t097,97,16.038282095095067
t098,98,71.61745789589185
t099,99,89.78993463255819
