skill,freq,skill_id,valuation,new_value
game scripting,1,649,53.299420056706154,152
beos,1,164,69.05875048312059,163
newspapers industry,0,1006,209.6415330561886,64
couchdb,2,395,102.37698703657543,140
crowdsourcing,2,413,21.14864019466543,119
art sales,0,116,55.4544092481647,140
strategic sales,0,1373,26.539424243078535,154
sap netweaver,1,1249,74.17376947365327,144
crm programs,0,411,54.6067544563291,103
concept artistry,1,352,94.15203218937596,197
scorm,1,1256,37.78729396131433,141
martial arts,1,903,191.11444402732013,154
mmorpg,1,948,60.8070804482516,243
corporate law,1,391,18.17261079396037,105
front end developers,1,639,88.78402447112205,160
postscript,1,1135,216.1513048536256,207
marketing support,1,901,36.79934808837225,119
ghostwriting,1,658,188.9342621262006,95
openerp,1,1037,183.9484532490371,111
medical imaging,0,925,745.1185128359084,186
non profit start up,2,1013,21.842634189297954,210
luxury goods industry,1,869,74.3512258394911,46
textile prints,1,1425,109.80614172172596,132
tamil,1,1395,458.8203607921391,184
energy industry,1,549,184.49231865437318,185
russian translation,1,1229,46.776684190789865,176
jsonp,0,816,67.00302581882842,177
experienced,1,570,13.96720877137609,70
miva merchant,2,947,99.01913692968724,97
database consulting,1,455,182.50797192580498,201
bmr writing,1,185,118.26950969662977,172
good data,1,667,190.84078125599532,247
editorial illustrations,2,526,31.21400509424735,139
manufacturing,0,890,4.122652553772584,158
business intelligence tools,1,213,423.374550291777,60
human resources policies (hr),0,721,108.59958056815974,231
video compression,1,1490,416.5997963568688,192
web site editing,0,1570,700.5400363937911,153
public relations industry,0,1173,102.98898729476394,141
iptables,2,785,10.668743117663642,151
content development,19,362,114.61238247495848,161
tibco,2,1429,95.87874581946909,215
inventory management,12,767,499.4990662506,172
arm,9,114,46.18654790956982,265
gis,9,661,642.7870945955909,79
svn,27,1382,622.6873975351788,152
computer graphics,5,341,55.9146685144723,177
spring framework,12,1352,416.2283874106472,132
whmcs,3,1594,22.378693779722525,129
business english,2,211,744.3923832109167,177
fact checking,11,580,52.925868404243495,110
music videos,5,991,89.79917771115842,122
webmaster,13,1578,179.1088539372667,193
budgeting,14,200,150.88453482271314,151
murals,8,987,154.2133917369699,224
ssis,16,1361,164.93118548096055,198
final draft,19,601,90.62578082806034,192
experience design,8,569,325.361117684341,146
