skill,freq,skill_id,valuation,new_value
front end design,1,638,95.95976562828967,48
ticket sales,1,1430,35.73565180312728,70
compiler,1,338,41.76718541386731,44
mac,1,870,158.46912571401938,64
human resources policies (hr),0,721,108.59958056815974,35
concept artistry,1,352,94.15203218937596,58
ghostwriting,1,658,188.9342621262006,56
sales brochures,1,1233,100.76740846069966,41
home video,1,710,319.67203081987867,44
website,1,1579,60.97778189257413,58
non profit consulting,2,1012,33.53199350791209,45
apple developer,1,96,81.64971099517922,65
microsoft great plains,0,937,11.814752316721814,54
bbpress,0,162,546.5831288693629,50
openerp,1,1037,183.9484532490371,73
business discovery,1,210,177.9928019104021,16
consultative sales management,1,358,190.7256413794756,46
organizational operations,1,1053,111.73633857463749,58
electronic product design,0,539,233.75778497172627,91
corporate media,1,392,107.93429215678294,44
bada,1,153,24.271810481892338,42
restaurants industry,1,1207,20.80689687578842,71
oauth,1,1017,12.216444278395427,48
luxury goods industry,1,869,74.3512258394911,62
amazon kindle,1,72,91.61423135123566,55
minecraft,1,946,134.00648756388077,51
createive suite,1,405,45.48126219600268,43
java security,0,798,24.59759052660841,53
video compression,1,1490,416.5997963568688,40
prototype,1,1166,327.63562867224414,41
corporate law,1,391,18.17261079396037,72
energy industry,1,549,184.49231865437318,60
content design,2,361,111.70895025945869,65
software coding,0,1327,33.4639743248605,52
microsoft access,1,934,218.2539054894324,52
venture funding,1,1481,96.72033979087101,79
apple iworks,1,97,3.321588533842303,42
human resources consulting (hr),0,718,94.08778752275886,57
creative,2,406,214.76605524933262,90
mediawiki,1,920,457.90023898224166,53
visual web developer,1,1518,47.25646465315851,4
apparel retail industry,1,94,18.823922330486614,35
product videography,1,1157,265.60811496491675,64
customer conversion,1,425,84.25432782521737,55
back end programming,1,151,116.20255248173136,5
jenkins,1,805,74.67924207418955,45
startup consulting,1,1363,88.24704983025661,49
scala,1,1252,58.55830817021025,29
social engineering,1,1306,54.92010400137783,51
active x,0,34,94.3106659366259,45
startup development,1,1364,87.91733499705406,39
arcgis,1,107,185.45414144321012,42
educational games,0,528,101.03149433257843,40
e-publishing,1,513,154.49565430007618,34
editorial illustrations,2,526,31.21400509424735,37
socket programming,0,1324,125.6202590039509,51
operations management,0,1041,169.76369615500678,78
atmel avr,1,132,136.45328385543698,45
soundedit,1,1342,27.58389001958416,43
public relations industry,0,1173,102.98898729476394,40
business plan,0,219,9.851877307250572,75
chemical engineering,1,269,18.589632141459113,58
spring security,1,1353,13.361741045561152,31
iptables,2,785,10.668743117663642,54
rf engineering,1,1215,51.35786128644782,16
postscript,1,1135,216.1513048536256,51
hypnosis,1,722,130.7996924923702,52
asian business,0,125,83.41368570884995,34
database scripting,1,462,84.31503746143257,53
miva merchant,2,947,99.01913692968724,53
editorial consulting,2,525,190.60434817176946,52
closing contracts,1,296,102.58615740391504,49
windows programming,1,1604,714.8613540000423,46
danish,0,434,36.046238302270346,46
youtube,1,1631,72.41670710468405,50
fashion designing,1,584,45.306339443484106,83
internet radio,0,759,70.42683239358927,45
embedded development,1,546,5.4000577169189965,42
fashion,1,582,5.145338381036844,93
integrated circuit design,1,749,72.80694377153841,72
visual basic .net,3,1512,72.25276638909429,69
sage,5,1231,35.769324785441796,63
adobe captivate,8,45,151.89813313231178,62
bluetooth,5,184,169.8324607467322,59
acting,12,29,108.25784800314702,34
social media consulting,15,1313,102.20015595706155,70
andriod apps,10,77,72.79195119542248,86
financial accounting,4,603,139.05468885548672,43
computer security,2,349,119.38222186734144,64
pattern design,2,1073,180.38058452107487,52
web graphics,22,1555,129.5359416836265,62
request for proposal design (rfp),3,1201,39.027358389958756,54
plc,4,1119,93.34511561461235,51
business intelligence,29,212,48.96355916309082,64
cover art,11,398,301.2384323108114,67
information technology industry,6,743,191.976711016368,55
google website optimizer,2,679,48.08241202963196,43
organizational development,3,1052,197.94111185682686,69
video games,17,1494,143.38439540467672,49
pentaho,2,1088,106.14191293807959,56
on page,27,1023,64.85566127852671,71
technical documentation,6,1406,561.5527757239516,67
visual basic.net,3,1513,23.124381876728805,83
data structures,6,451,82.9078884994329,74
off page,21,1019,29.522912761966523,18
business planning,26,220,224.22748583909691,46
web application design,12,1539,82.96802032326245,67
sales management,3,1236,185.21123083000262,38
tibco,2,1429,95.87874581946909,64
google maps api,6,675,89.32224222141191,34
sales letters,14,1235,47.276988524675886,69
renewable energy,5,1198,87.4908108137304,55
website content writing,4,1581,14.746182912425606,50
human resources management (hr),2,719,26.418110903166323,55
game publishing,2,648,158.06186483662225,42
grant writing,19,686,120.54619577150595,80
directx,9,491,176.90373978373842,42
storyboarding,20,1371,33.596065268389076,46
design strategy,3,470,20.72063543339411,73
pitch letters,2,1115,79.52377327098955,54
data encoding,5,442,68.7698719682634,72
vb script,15,1471,47.13588929611172,68
finnish,2,612,46.98618098554843,51
on page optimization,11,1024,8.767896247126076,22
windows 8,11,1599,101.53267449028995,77
dom,10,500,107.81661972790863,46
film dubbing,2,597,413.6736670935002,33
copyright,11,377,187.52971854517082,66
cover design,25,399,485.1981812429976,56
hadoop,3,696,145.9492035317518,71
korean,2,826,16.754475816154592,46
