skill,freq,skill_id,valuation,new_value
arabic,4,17,3.4845956644640297,5
invitation design,1,79,5.722088515499466,9
virtuemart,3,159,9.867366011710992,9
sharepoint,1,132,6.973426301001876,9
telecommunications engineering,2,146,1.8152515449000248,9
japanese,2,82,1.4217485380083583,15
arduino,2,18,15.313453655555296,11
concept design,3,41,9.436732530130731,6
product design,4,119,10.659925009687154,8
typography,2,151,6.123440978498813,8
korean,3,87,7.280390946429375,12
embedded software,3,60,30.744914609103546,4
electronic forms,1,57,1.694447606785798,5
oracle,2,106,6.71598617505857,6
creative writing,4,45,5.661082763986039,6
covers &amp; packaging,3,44,1.50695242022607,12
travel writing,5,150,2.364099276024948,7
robotics,1,126,3.2174362659989715,12
amazon web services,5,12,4.859699111894209,7
swedish,1,142,3.547323588086873,8
actionscript,6,7,1.265248014506389,8
voice talent,20,161,23.368206665544772,12
system admin,33,143,9.359505215073456,7
proofreading,37,121,9.087490595488674,7
greek,6,73,13.336170295615439,4
leads,8,89,31.33306945320262,11
3ds max,20,4,1.764712026171015,10
video broadcasting,6,155,26.355255466737646,10
transcription,9,148,1.2198744161363149,11
java,34,83,10.612083427182641,3
sem / adwords,6,130,2.6696906118414505,7
sales,9,128,11.800981538581475,10
powerpoint,13,117,18.528534970246746,5
asp,26,21,15.803423030908347,8
apache,11,16,23.060361969668175,8
caricature &amp; cartoons,23,38,28.150381513255283,5
project management,17,120,6.8709951091010275,7
c++ programming,34,36,11.021749638386748,6
3d modelling,47,2,12.403094395419776,14
youtube,13,174,10.99919689572228,11
after effects,32,9,6.633178821387148,9
brochure design,25,29,4.356219289110999,3
3d rendering,43,3,20.79666810241188,9
windows server,6,169,9.295655190482258,6
spanish,9,138,9.891042053818568,7
ipad,40,80,9.151860132605565,11
microcontroller,9,100,7.230636715449224,7
advertising,20,8,9.34515124669998,8
email marketing,6,59,16.472602413643273,9
bulk marketing,11,30,10.936169575665511,8
matlab &amp; mathematica,16,97,10.305302609032417,8
cms,9,40,9.755444263871711,15
business plans,6,33,17.3523956162447,7
psd to html,19,122,8.085793819608291,12
business analysis,10,31,17.592634003265434,5
accounting,8,6,6.040057241126702,8
technical writing,32,145,10.15343939532062,12
shell script,7,133,19.045594435293484,9
videography,16,157,7.447831165946251,7
website management,18,167,13.02360033951006,11
database administration,12,50,16.43821471772675,9
cad/cam,10,37,6.9892711710433755,8
stationery design,8,140,10.195623889030358,7
ghostwriting,36,71,2.393875573183216,6
algorithm,10,11,10.8229973781154,16
marketing,37,95,7.225879531076997,5
engineering,32,61,2.9138043812554777,4
mac os,8,93,14.385083806492148,14
flyer design,13,67,9.168398247249426,10
software testing,30,137,11.165887958765184,8
ajax,38,10,5.3880240768806456,8
asterisk pbx,9,22,7.935053228395746,4
link building,27,90,11.629803549440858,11
jquery / prototype,32,86,1.4055180554493203,7
ebooks,7,53,3.2684838377240357,6
word,10,170,8.562213273705222,8
copy typing,12,42,7.794422882805676,5
statistics,7,141,7.016113445305009,6
delphi,7,51,3.179696841980547,7
reviews,10,125,10.338364992427405,13
c programming,47,34,4.064529328535978,8
video services,49,156,2.9434610274727118,6
photoshop,224,112,4.604702712130673,8
data entry,140,48,1.6170308199232213,13
wordpress,167,171,7.242523094871336,12
php,535,114,10.218359258529087,11
iphone,65,81,6.157086415023636,7
html,349,74,7.5319173592407465,8
javascript,114,84,9.718714727340966,11
logo design,234,92,3.106429513019388,7
animation,48,14,16.372206825714105,9
android,66,13,12.7969298804071,12
excel,105,62,6.607011085839172,12
academic writing,62,5,4.9795837686625966,10
css,159,46,29.54974473683529,2
linux,74,91,4.2044306281626405,2
illustration,56,75,9.90095888300671,9
web scraping,49,164,2.92805631541434,4
data processing,61,49,5.858448891645284,5
.net,54,0,4.005638907764299,10
