skill,skill_id,valuation
arduino,18,10
concept design,41,10
electronic forms,57,9
arabic,17,8
swedish,142,9
travel writing,150,4
korean,87,1
covers &amp; packaging,44,13
creative writing,45,9
financial markets,65,4
typography,151,6
robotics,126,15
latex,88,5
bootstrap,28,13
forum posting,68,7
xxx,173,13
japanese,82,10
amazon web services,12,10
virtuemart,159,7
customer support,47,11
classifieds posting,39,9
mac os,93,11
link building,90,7
algorithm,11,10
pdf,108,7
autocad,24,3
windows server,169,7
statistics,141,8
jquery / prototype,86,11
indesign,77,12
c# programming,35,9
c++ programming,36,7
sql,139,9
flyer design,67,7
website management,167,9
technical writing,145,4
electronics,58,6
shell script,133,11
magento,94,7
business plans,33,6
electrical engineering,56,10
3ds max,4,8
photoshop design,113,7
bulk marketing,30,8
blog,26,15
database administration,50,7
delphi,51,10
microcontroller,100,8
email marketing,59,6
ipad,80,5
flash,66,7
microsoft access,101,9
photo editing,110,6
metatrader,99,9
prestashop,118,9
software testing,137,6
ajax,10,1
mechanical engineering,98,13
voice talent,161,14
engineering,61,11
music,104,7
t-shirts,144,11
project management,120,5
video broadcasting,155,6
copy typing,42,7
editing,55,11
game design,69,9
python,123,8
sales,128,7
spanish,138,8
research,124,5
xml,172,2
advertising,8,14
matlab &amp; mathematica,97,10
psd to html,122,5
cad/cam,37,10
windows desktop,168,8
after effects,9,12
finance,64,8
actionscript,7,8
c programming,34,3
.net,0,8
articles,20,6
seo,131,11
excel,62,9
graphic design,72,6
mobile phone,103,7
banner design,25,8
website design,166,7
android,13,11
article rewriting,19,8
video services,156,11
php,114,5
joomla,85,10
data entry,48,8
internet marketing,78,6
html,74,10
javascript,84,8
css,46,5
logo design,92,8
3d modelling,0,0
photoshop,0,0
ghostwriting,0,0
wordpress,0,0
visual basic,0,0
mysql,0,0
data processing,0,0
brochure design,0,0
3d rendering,0,0
academic writing,0,0
powerpoint,0,0
