skill,skill_id,valuation
arabic,17,73
creative writing,45,83
bootstrap,28,103
japanese,82,83
microsoft access,101,39
powerpoint,117,96
classifieds posting,39,23
cad/cam,37,68
stationery design,140,68
voip,162,103
prestashop,118,98
delphi,51,67
photoshop design,113,79
3d animation,1,86
c# programming,35,37
music,104,49
.net,0,55
facebook marketing,63,75
mobile phone,103,86
software architecture,136,47
website design,0,0
ecommerce,0,0
php,0,0
internet marketing,0,0
seo,0,0
link building,0,0
social networking,0,0
javascript,0,0
xml,0,0
css,0,0
html,0,0
ajax,0,0
jquery / prototype,0,0
flash,0,0
animation,0,0
iphone,0,0
ipad,0,0
python,0,0
android,0,0
user interface / ia,0,0
logo design,0,0
marketing,0,0
