skill,freq,skill_id,valuation,new_value
electronic forms,1,57,1.694447606785798,8
microsoft exchange,1,102,9.58818754218428,8
japanese,2,82,1.4217485380083583,7
polish,2,115,3.3302995550883034,10
xxx,2,173,11.796183727789032,4
travel writing,5,150,2.364099276024948,6
simplified chinese (china),1,134,24.417084798211512,6
german,3,70,5.086556286310606,6
virtuemart,3,159,9.867366011710992,3
ruby on rails,4,127,11.618736405678522,5
typography,2,151,6.123440978498813,4
financial markets,3,65,3.237055092384948,6
telemarketing,4,147,16.607723132024127,7
amazon web services,5,12,4.859699111894209,7
arabic,4,17,3.4845956644640297,3
invitation design,1,79,5.722088515499466,6
latex,1,88,8.458802883562928,9
user interface / ia,5,154,14.98616294965129,6
telecommunications engineering,2,146,1.8152515449000248,4
unity 3d,3,152,16.50828596262794,2
oracle,2,106,6.71598617505857,4
korean,3,87,7.280390946429375,5
embedded software,3,60,30.744914609103546,9
product design,4,119,10.659925009687154,5
sharepoint,1,132,6.973426301001876,5
poster design,3,116,5.029972343124852,8
bootstrap,2,28,3.4858135806158708,7
customer support,5,47,2.4570190758833936,5
arduino,2,18,15.313453655555296,10
swedish,1,142,3.547323588086873,7
xml,23,172,4.598300521968474,8
system admin,33,143,9.359505215073456,6
technical writing,32,145,10.15343939532062,6
ghostwriting,36,71,2.393875573183216,3
editing,31,55,28.828983811277105,4
videography,16,157,7.447831165946251,8
photoshop design,43,113,6.564322261787281,4
sql,27,139,2.639624964837872,4
anything goes,22,15,12.822894665296193,6
database administration,12,50,16.43821471772675,6
youtube,13,174,10.99919689572228,11
indesign,9,77,6.026360146578102,2
accounting,8,6,6.040057241126702,9
ipad,40,80,9.151860132605565,6
3d animation,40,1,7.141289992379567,2
apache,11,16,23.060361969668175,7
3d rendering,43,3,20.79666810241188,7
web search,33,165,7.507411736691339,10
psd to html,19,122,8.085793819608291,6
website management,18,167,13.02360033951006,4
leads,8,89,31.33306945320262,5
web hosting,25,163,12.067923015884647,5
powerpoint,13,117,18.528534970246746,5
magento,28,94,26.118923817865593,6
business cards,15,32,5.371823567350697,5
after effects,32,9,6.633178821387148,8
matlab &amp; mathematica,16,97,10.305302609032417,7
spanish,9,138,9.891042053818568,5
email marketing,6,59,16.472602413643273,5
python,20,123,7.004980867191003,8
blog,43,26,6.484402488338522,6
ebooks,7,53,3.2684838377240357,7
social networking,37,135,7.195995198838821,7
c# programming,41,35,8.517305956749134,5
windows server,6,169,9.295655190482258,9
caricature &amp; cartoons,23,38,28.150381513255283,5
photography,6,111,11.492606860799302,7
flash,47,66,9.317029777222347,6
research,34,124,8.120319671990929,4
sales,9,128,11.800981538581475,5
video broadcasting,6,155,26.355255466737646,5
electronics,17,58,6.608285080925017,9
3ds max,20,4,1.764712026171015,3
metatrader,8,99,8.845993954287932,11
asterisk pbx,9,22,7.935053228395746,7
business analysis,10,31,17.592634003265434,4
perl,10,109,10.091360344807502,6
pcb layout,7,107,13.010822472885925,5
mathematics,11,96,10.386569647376023,6
visual basic,29,160,9.91091238368618,9
music,9,104,8.62321315583484,7
transcription,9,148,1.2198744161363149,4
voice talent,20,161,23.368206665544772,5
cms,9,40,9.755444263871711,6
greek,6,73,13.336170295615439,7
finance,8,64,9.525547880991676,6
pdf,6,108,26.760825552105764,1
mechanical engineering,9,98,12.966168047134461,6
electrical engineering,9,56,7.60576933017874,5
windows desktop,29,168,17.071079404295652,8
cad/cam,10,37,6.9892711710433755,5
statistics,7,141,7.016113445305009,7
ajax,38,10,5.3880240768806456,6
prestashop,8,118,1.4202837022008017,6
virtual assistant,22,158,28.680488285264918,7
book writing,8,27,2.8983546355784515,4
microcontroller,9,100,7.230636715449224,4
actionscript,6,7,1.265248014506389,10
photo editing,20,110,3.6957059509712114,6
audio services,29,23,9.739949606252047,4
reviews,10,125,10.338364992427405,6
drupal,8,52,15.332707535821168,6
sem / adwords,6,130,2.6696906118414505,5
3d modelling,47,2,12.403094395419776,6
delphi,7,51,3.179696841980547,7
game design,10,69,27.044198721717528,9
unix,8,153,6.192757246663923,4
brochure design,25,29,4.356219289110999,3
advertising,20,8,9.34515124669998,9
t-shirts,13,144,19.24645072699864,6
marketing,37,95,7.225879531076997,7
mac os,8,93,14.385083806492148,8
voip,8,162,9.109428712965158,5
shell script,7,133,19.045594435293484,7
java,34,83,10.612083427182641,6
flyer design,13,67,9.168398247249426,6
autocad,19,24,5.078667658713466,7
link building,27,90,11.629803549440858,4
copy typing,12,42,7.794422882805676,8
word,10,170,8.562213273705222,8
mysql,198,105,9.272545566436127,8
article rewriting,71,19,9.682249736161133,6
animation,48,14,16.372206825714105,7
illustration,56,75,9.90095888300671,9
javascript,114,84,9.718714727340966,11
android,66,13,12.7969298804071,8
data entry,140,48,1.6170308199232213,6
illustrator,98,76,14.771548247179242,9
joomla,49,85,4.679957601715033,2
facebook marketing,47,63,7.560163280909197,4
mobile phone,58,103,7.081535302353911,7
linux,74,91,4.2044306281626405,6
translation,76,149,11.002758659056614,7
css,159,46,29.54974473683529,8
video services,49,156,2.9434610274727118,9
web scraping,49,164,2.92805631541434,7
wordpress,167,171,7.242523094871336,7
seo,69,131,7.492308226863184,7
c programming,47,34,4.064529328535978,6
.net,54,0,4.005638907764299,7
php,535,114,10.218359258529087,4
graphic design,474,72,13.904429463720687,10
photoshop,224,112,4.604702712130673,1
data processing,61,49,5.858448891645284,6
software architecture,89,136,4.0907667181361305,10
internet marketing,87,78,3.2899100127287504,3
banner design,68,25,12.449267381997936,6
logo design,234,92,3.106429513019388,2
copywriting,78,43,7.546672927301931,8
articles,106,20,13.03163939219417,8
