skill,freq,skill_id,valuation,new_value
customer support,5,47,2.4570190758833936,59
microsoft exchange,1,102,9.58818754218428,72
typography,2,151,6.123440978498813,80
xxx,2,173,11.796183727789032,74
videography,16,157,7.447831165946251,72
t-shirts,13,144,19.24645072699864,45
3d animation,40,1,7.141289992379567,59
asterisk pbx,9,22,7.935053228395746,49
xml,23,172,4.598300521968474,58
audio services,29,23,9.739949606252047,71
business analysis,10,31,17.592634003265434,60
script install,14,129,7.321011085392957,98
sem / adwords,6,130,2.6696906118414505,82
email marketing,6,59,16.472602413643273,21
ajax,38,10,5.3880240768806456,90
leads,8,89,31.33306945320262,74
web scraping,49,164,2.92805631541434,50
joomla,49,85,4.679957601715033,64
excel,105,62,6.607011085839172,53
css,159,46,29.54974473683529,76
